nome_x,nome_regiao,quantidade_nascimentos_ate_2010
Adenizia,Sudeste,10
Adenoaldo,Nordeste,24
Adenor,Nordeste,158
Adenora,Norte,12
Adeodato,Nordeste,21
Ader,Sudeste,54
Aderaldo,Nordeste,530
Aderbal,Sudeste,691
Aderci,Sudeste,31
Adercio,Sudeste,32
Aderi,Sudeste,15
Aderico,Sudeste,22
Aderita,Sudeste,46
Aderito,Sudeste,140
Aderivaldo,Nordeste,70
Aderivan,Nordeste,10
Aderlan,Nordeste,87
Aderlandia,Sudeste,10
Aderlane,Nordeste,28
Aderlene,Sudeste,14
Aderli,Sudeste,29
Aderlinda,Nordeste,22
Adermar,Sudeste,14
Adermir,Sudeste,11
Adernoel,Nordeste,31
Adersom,Sudeste,10
Aderson,Sudeste,783
Aderval,Sudeste,252
Adervaldo,Sudeste,18
Adervan,Norte,11
Adesia,Sudeste,17
Adesio,Sudeste,61
Adeson,Nordeste,33
Adete,Sudeste,11
Adetina,Sudeste,12
Adeuzita,Sudeste,10
Adevair,Centro-Oeste,201
Adeval,Nordeste,146
Adevaldo,Sudeste,913
Adevan,Nordeste,68
Adevando,Sudeste,12
Adevani,Sudeste,12
Adevania,Sudeste,34
Adevanildo,Sudeste,11
Adevanio,Sudeste,20
Adevanir,Sudeste,79
Adevilson,Sudeste,28
Adhemar,Sudeste,241
Adhemir,Sudeste,12
Adherbal,Sudeste,33
Adi,Sul,262
Adiana,Sudeste,102
Adiane,Sudeste,15
Adiano,Sudeste,38
Adib,Sudeste,94
Adiceia,Sudeste,10
Adicelia,Centro-Oeste,10
Adiel,Nordeste,682
Adiele,Nordeste,11
Adielson,Nordeste,120
Adiene,Norte,14
Adierson,Sul,12
Adijane,Sudeste,11
Adil,Sudeste,253
Adila,Nordeste,863
Adilaine,Sudeste,28
Adilane,Nordeste,18
Adilar,Sul,127
Adilberto,Sudeste,12
Adilce,Sudeste,63
Adilcea,Sudeste,22
Adilceia,Sudeste,46
Adildon,Sudeste,19
Adilea,Sudeste,66
Adileia,Sudeste,259
Adileide,Sudeste,16
Adilene,Sudeste,301
Adiles,Sul,544
Adileusa,Sudeste,24
Adileuza,Sudeste,46
Adilha,Sudeste,27
Adilho,Sudeste,50
Adilia,Sudeste,506
Adilina,Sudeste,12
Adilio,Sudeste,1013
Adilis,Sul,34
Adilma,Nordeste,906
Adilmar,Nordeste,11
Adilon,Sudeste,73
Adilor,Sudeste,16
Adilsa,Sudeste,98
Adilse,Sudeste,10
Adilsn,Sudeste,12
Adilso,Sudeste,267
Adilsom,Sudeste,1530
Adilson,Sudeste,83289
Adilto,Nordeste,17
Adilton,Nordeste,1630
Adilza,Nordeste,247
Adima,Sudeste,36
Adimar,Sudeste,216
Adimilsom,Sudeste,18
Adimilson,Sudeste,699
Adimir,Sudeste,53
Adina,Sudeste,255
Adinael,Sudeste,64
Adinaildes,Nordeste,10
Adinailton,Nordeste,25
Adinair,Nordeste,15
Adinaldo,Sudeste,126
Adinalva,Sudeste,103
Adinamar,Norte,41
Adinan,Sudeste,56
Adine,Sudeste,14
Adinei,Sudeste,45
Adineia,Sudeste,107
Adineide,Sudeste,11
Adinelia,Nordeste,11
Adinelson,Norte,32
Adinete,Sudeste,16
Adinilson,Sudeste,41
Adinir,Sul,13
Adinolia,Sudeste,10
Adione,Sudeste,12
Adir,Sul,4122
Adirce,Sudeste,32
Adirlene,Sudeste,11
Adirson,Sudeste,65
Adisom,Sudeste,29
Adison,Sudeste,867
Adisson,Nordeste,82
Adiva,Sudeste,12
Adivair,Centro-Oeste,12
Adival,Sudeste,20
Adivaldo,Sudeste,150
Adivan,Sudeste,17
Adivania,Sudeste,24
Adivar,Sudeste,10
Adja,Nordeste,122
Adjailson,Nordeste,108
Adjailton,Nordeste,12
Adjair,Nordeste,140
Adjalma,Sudeste,16
Adjamir,Nordeste,12
Adjan,Nordeste,10
Adjane,Nordeste,362
Adjanira,Sudeste,10
Adjar,Centro-Oeste,17
Adla,Nordeste,427
Adlberto,Sudeste,12
Adlene,Nordeste,47
Adler,Sudeste,150
Adley,Centro-Oeste,13
Adlson,Sudeste,73
Adma,Sudeste,296
Admael,Sudeste,10
Admar,Sudeste,428
Admardo,Sudeste,14
Admario,Sudeste,25
Admilde,Sudeste,12
Admilsom,Sudeste,46
Admilson,Sudeste,3504
Admilton,Nordeste,58
Admir,Sudeste,1039
Admison,Sudeste,10
Adna,Nordeste,1659
Adnael,Sudeste,11
Adnailson,Nordeste,14
Adnailton,Nordeste,31
Adnair,Sudeste,13
Adnaldo,Nordeste,93
Adnalva,Sudeste,52
Adnan,Sudeste,100
Adne,Sudeste,12
Adnei,Sudeste,33
Adneia,Sudeste,101
Adnelia,Centro-Oeste,12
Adnelson,Norte,25
Adner,Sudeste,15
Adnil,Nordeste,10
Adnilson,Sudeste,210
Adnilton,Sudeste,24
Adnir,Sudeste,34
Adnolia,Nordeste,22
Ado,Sudeste,15
Adoaldo,Sudeste,23
Adoan,Nordeste,13
Adolar,Sul,448
Adolfa,Sudeste,18
Adolfina,Sudeste,104
Adolfo,Sudeste,4975
Adolpho,Sudeste,223
Adonai,Norte,329
Adonay,Norte,36
Adonel,Sudeste,30
Adones,Nordeste,108
